state.x,county.x,date,n_episodes,n_events,total_property_damage,total_injuries,total_deaths,label,month,season,days_since_last_damaging_flood,days_since_prev_flood,min.2,max.2,mean.2,min.1,max.1,mean.1,min,max,mean,builtup,forest,agriculture,other,impervious,total_pop.x,median_income,area_km2,pop_density,total_population,exposed_population,pct_exposed,pct_age_65plus,pct_less_hs,pct_below_poverty,pct_hispanic,pct_nh_black,road_density_km_per_km2
VIRGINIA,Gloucester County,2024/7/20,1,1,0,0,0,0,7,Summer,NA,742,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1,36.42,10.66,42.849999999999994,2.17,37362,71649,642.7079669618523,58.13215631,37362,365,0.98,20.32986642194351,6.457122463546447,6.676353624961762,4.043030488426634,8.137044967880085,3.937338093
VIRGINIA,Goochland County,2022/8/5,1,1,0,0,0,0,8,Summer,NA,NA,0,0,0,0,11.25,1.128724833,33.36999893,50.86000061,42.32239382,10.58,58.129999999999995,18.7,12.6,1.85,23472,97146,752.9432964,31.17366222773973,23472,98,0.42,23.87459493226096,3.7793308085737713,3.7090539960176474,3.6465857181899817,14.35599109827041,2.967914707
VIRGINIA,Grayson County,2015/4/19,1,1,0,0,0,0,4,Spring,646,646,0,1.600000024,0.02511041,0,12.53999996,5.256277591,82.58999634,103.5100021,92.08608838,6.35,63.78,26,3.849999999999999,0.69,15651,41558,1161.6964299742344,13.472538604897949,15651,1155,7.38,25.673823663773412,12.034196958820074,16.93532598055211,4.059257325588984,5.181752920446388,3.752598487
VIRGINIA,Grayson County,2015/5/11,1,1,0,0,0,0,5,Spring,668,22,0,0,0,0,0,0,9.229999542,21.95999908,15.77337538,6.35,63.78,26,3.849999999999999,0.69,15651,41558,1161.6964299742344,13.472538604897949,15651,1155,7.38,25.673823663773412,12.034196958820074,16.93532598055211,4.059257325588984,5.181752920446388,3.752598487
VIRGINIA,Grayson County,2017/5/20,1,1,0,0,0,0,5,Spring,1408,740,0,0,0,7.320000172,14.47000027,8.291356457,0.50999999,5.96999979,1.351293375,6.35,63.78,26,3.849999999999999,0.69,15651,41558,1161.6964299742344,13.472538604897949,15651,1155,7.38,25.673823663773412,12.034196958820074,16.93532598055211,4.059257325588984,5.181752920446388,3.752598487
VIRGINIA,Grayson County,2017/6/15,1,1,2000,0,0,1,6,Summer,1434,26,2.789999962,7.1199998859999996,3.710757097,0,15.39000034,10.67794951,4.900000095,9.909999847,7.056940071,6.35,63.78,26,3.849999999999999,0.69,15651,41558,1161.6964299742344,13.472538604897949,15651,1155,7.38,25.673823663773412,12.034196958820074,16.93532598055211,4.059257325588984,5.181752920446388,3.752598487
VIRGINIA,Grayson County,2018/5/15,1,1,0,0,0,0,5,Spring,334,334,0,0,0,0,0,0,11.65999985,22.06999969,16.15255519,6.35,63.78,26,3.849999999999999,0.69,15651,41558,1161.6964299742344,13.472538604897949,15651,1155,7.38,25.673823663773412,12.034196958820074,16.93532598055211,4.059257325588984,5.181752920446388,3.752598487
VIRGINIA,Grayson County,2018/9/16,1,1,34040,0,0,1,9,Fall,458,124,0,12.31000042,3.31498423,13.18999958,26.77000046,19.9714826,82.37000275,118.4899979,102.5059938,6.35,63.78,26,3.849999999999999,0.69,15651,41558,1161.6964299742344,13.472538604897949,15651,1155,7.38,25.673823663773412,12.034196958820074,16.93532598055211,4.059257325588984,5.181752920446388,3.752598487
VIRGINIA,Grayson County,2018/10/10,1,1,0,0,0,0,10,Fall,24,24,2.25,16.799999239999998,7.5982333969999996,0.699999988,13.71000004,6.522933753,82.19999695,106.8600006,97.30072546,6.35,63.78,26,3.849999999999999,0.69,15651,41558,1161.6964299742344,13.472538604897949,15651,1155,7.38,25.673823663773412,12.034196958820074,16.93532598055211,4.059257325588984,5.181752920446388,3.752598487
VIRGINIA,Grayson County,2018/10/11,1,1,0,0,0,0,10,Fall,25,1,0.699999988,13.71000004,6.522933753,82.19999695,106.8600006,97.30072546,53.83000183,74.31999969,64.95211346,6.35,63.78,26,3.849999999999999,0.69,15651,41558,1161.6964299742344,13.472538604897949,15651,1155,7.38,25.673823663773412,12.034196958820074,16.93532598055211,4.059257325588984,5.181752920446388,3.752598487
VIRGINIA,Grayson County,2019/7/6,1,1,0,0,0,0,7,Summer,293,268,10.63000011,18.87000084,13.74179808,13.02000046,19.89999962,16.48066245,2.789999962,12.17000008,4.979905358,6.35,63.78,26,3.849999999999999,0.69,15651,41558,1161.6964299742344,13.472538604897949,15651,1155,7.38,25.673823663773412,12.034196958820074,16.93532598055211,4.059257325588984,5.181752920446388,3.752598487
VIRGINIA,Grayson County,2024/5/22,1,6,65000,0,0,1,5,Spring,2075,1782,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.35,63.78,26,3.849999999999999,0.69,15651,41558,1161.6964299742344,13.472538604897949,15651,1155,7.38,25.673823663773412,12.034196958820074,16.93532598055211,4.059257325588984,5.181752920446388,3.752598487
VIRGINIA,Grayson County,2024/9/26,1,2,0,0,0,0,9,Fall,127,127,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.35,63.78,26,3.849999999999999,0.69,15651,41558,1161.6964299742344,13.472538604897949,15651,1155,7.38,25.673823663773412,12.034196958820074,16.93532598055211,4.059257325588984,5.181752920446388,3.752598487
VIRGINIA,Grayson County,2024/9/27,1,2,20000000,0,1,1,9,Fall,128,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.35,63.78,26,3.849999999999999,0.69,15651,41558,1161.6964299742344,13.472538604897949,15651,1155,7.38,25.673823663773412,12.034196958820074,16.93532598055211,4.059257325588984,5.181752920446388,3.752598487
VIRGINIA,Greene County,2015/6/1,1,1,0,0,0,0,6,Summer,3261,755,0,0,0,4.010000229,6.739999771,4.98822581,26.59000015,31.06999969,29.38508058,9.76,65.18,23.55,1.5000000000000002,1.51,19734,67266,406.1384879387901,48.589337346856304,19734,3562,18.05,18.66187050359712,7.074340527577938,11.62589928057554,6.9496402877697845,6.767386091127098,3.789463308
VIRGINIA,Greene County,2015/7/27,1,1,0,0,0,0,7,Summer,3317,56,0,0,0,0,13.84000015,7.672580659,0.660000026,6.920000076,4.142419355,9.76,65.18,23.55,1.5000000000000002,1.51,19734,67266,406.1384879387901,48.589337346856304,19734,3562,18.05,18.66187050359712,7.074340527577938,11.62589928057554,6.9496402877697845,6.767386091127098,3.789463308
VIRGINIA,Greene County,2017/7/5,1,4,0,0,0,0,7,Summer,4026,709,0,0,0,2.839999914,6.25,4.755887099,18.19000053,24.29000092,20.86354854,9.76,65.18,23.55,1.5000000000000002,1.51,19734,67266,406.1384879387901,48.589337346856304,19734,3562,18.05,18.66187050359712,7.074340527577938,11.62589928057554,6.9496402877697845,6.767386091127098,3.789463308
VIRGINIA,Greene County,2017/7/5,1,4,0,0,0,0,7,Summer,4026,709,0,0,0,2.839999914,6.25,4.755887099,18.19000053,24.29000092,20.86354854,9.76,65.18,23.55,1.5000000000000002,1.51,19734,67266,406.1384879387901,48.589337346856304,19734,3562,18.05,18.66187050359712,7.074340527577938,11.62589928057554,6.9496402877697845,6.767386091127098,3.789463308
