state,county,date,n_episodes,n_events,total_property_damage,total_injuries,total_deaths,label,month,season,days_since_last_damaging_flood,days_since_prev_flood,impervious,exposed_population,pct_exposed,pct_age_65plus,pct_less_hs,pct_below_poverty,pct_hispanic,pct_nh_black,min.2,max.2,mean.2,min.1,max.1,mean.1,min,max,mean,population,population_density,Forest,Agriculture,Urban,Suburban,Rural,Median_Household_Income,road_density_km_per_km2
virginia,botetourt county,2021-09-22,1,6,35000.0,0,0,1,9,Fall,527.0,527.0,1.43,1667,4.98,23.63099631,4.162361623616236,6.013284132841329,2.370479704797048,2.3616236162361623,0.0,11.1999998092651,3.97479425581282,54.2999992370605,75.2600021362305,65.7290071033621,23.7199993133545,94.0,51.5114848455931,33998.0,24.251390885175155,73.432,16.539,0.119,2.304,5.657,72941.0,3.43364667274039
virginia,botetourt county,2021-09-22,1,6,35000.0,0,0,1,9,Fall,527.0,527.0,1.43,1667,4.98,23.63099631,4.162361623616236,6.013284132841329,2.370479704797048,2.3616236162361623,0.0,11.1999998092651,3.97479425581282,54.2999992370605,75.2600021362305,65.7290071033621,23.7199993133545,94.0,51.5114848455931,33998.0,24.251390885175155,73.432,16.539,0.119,2.304,5.657,72941.0,3.43364667274039
virginia,botetourt county,2021-09-22,1,6,35000.0,0,0,1,9,Fall,527.0,527.0,1.43,1667,4.98,23.63099631,4.162361623616236,6.013284132841329,2.370479704797048,2.3616236162361623,0.0,11.1999998092651,3.97479425581282,54.2999992370605,75.2600021362305,65.7290071033621,23.7199993133545,94.0,51.5114848455931,33998.0,24.251390885175155,73.432,16.539,0.119,2.304,5.657,72941.0,3.43364667274039
virginia,brunswick county,2019-06-10,1,3,0.0,0,0,0,6,Summer,7207.0,6854.0,1.01,174,1.06,21.893118225359213,15.60373077892614,13.171162087219562,2.735064280312579,53.20771363750945,6.32000017166138,10.4899997711182,7.68692147485481,11.1599998474121,17.6900005340576,13.2133884203335,24.7600002288818,35.1500015258789,30.4438119584864,16231.0,11.06743425261161,64.124,10.915,0.052,1.666,3.821,44434.0,3.42478728143808
virginia,brunswick county,2019-06-10,1,3,0.0,0,0,0,6,Summer,7207.0,6854.0,1.01,174,1.06,21.893118225359213,15.60373077892614,13.171162087219562,2.735064280312579,53.20771363750945,6.32000017166138,10.4899997711182,7.68692147485481,11.1599998474121,17.6900005340576,13.2133884203335,24.7600002288818,35.1500015258789,30.4438119584864,16231.0,11.06743425261161,64.124,10.915,0.052,1.666,3.821,44434.0,3.42478728143808
virginia,brunswick county,2019-06-10,1,3,0.0,0,0,0,6,Summer,7207.0,6854.0,1.01,174,1.06,21.893118225359213,15.60373077892614,13.171162087219562,2.735064280312579,53.20771363750945,6.32000017166138,10.4899997711182,7.68692147485481,11.1599998474121,17.6900005340576,13.2133884203335,24.7600002288818,35.1500015258789,30.4438119584864,16231.0,11.06743425261161,64.124,10.915,0.052,1.666,3.821,44434.0,3.42478728143808
virginia,brunswick county,2023-08-28,1,1,0.0,0,0,0,8,Summer,8747.0,1540.0,1.01,174,1.06,21.893118225359213,15.60373077892614,13.171162087219562,2.735064280312579,53.20771363750945,0.0,41.2799987792969,0.417355367960023,9.46000003814697,27.9899997711182,18.8030578400478,22.2399997711182,49.8400001525879,36.0102995249851,15749.0,10.73877284482658,63.371,10.657,0.054,1.674,3.877,52978.0,3.42483378047651
virginia,brunswick county,2024-07-18,1,1,0.0,0,0,0,7,Summer,9072.0,325.0,1.01,174,1.06,21.893118225359213,15.60373077892614,13.171162087219562,2.735064280312579,53.20771363750945,,,,,,,,,,,,,,,,,,
virginia,buchanan county,2015-07-14,1,1,20000.0,0,0,1,7,Summer,398.0,398.0,0.97,1215,5.68,23.472830739789497,17.172785415722416,22.586493428010275,1.017273505564788,2.3568514881402023,3.96000003814697,10.8400001525879,6.4194897936315,27.3899993896484,32.1199989318848,29.2365305667021,16.3600006103516,26.5499992370605,21.1895407949175,22752.0,17.469463263809534,89.759,0.574,0.032,1.689,3.783,29679.0,3.95202820782885
virginia,buchanan county,2020-08-07,1,1,2000.0,0,0,1,8,Summer,1851.0,1851.0,0.97,1215,5.68,23.472830739789497,17.172785415722416,22.586493428010275,1.017273505564788,2.3568514881402023,0.0,7.44000005722046,1.77512755077712,12.6599998474121,23.8099994659424,19.6350255109826,0.0,0.0,0.0,20245.0,15.5445360309346,89.525,0.576,0.034,1.679,3.83,34302.0,3.39885631990712
virginia,buchanan county,2020-08-31,1,1,5000.0,0,0,1,8,Summer,24.0,24.0,0.97,1215,5.68,23.472830739789497,17.172785415722416,22.586493428010275,1.017273505564788,2.3568514881402023,4.1399998664856,7.01000022888184,5.47056121972142,5.8600001335144,7.5,6.71250000291941,8.98999977111816,15.9799995422363,12.763392840113,20245.0,15.5445360309346,89.525,0.576,0.034,1.679,3.83,34302.0,3.39885631990712
virginia,buchanan county,2021-07-10,1,1,3000.0,0,0,1,7,Summer,313.0,313.0,0.97,1215,5.68,23.472830739789497,17.172785415722416,22.586493428010275,1.017273505564788,2.3568514881402023,10.4300003051758,17.8500003814697,13.6796173611466,0.0,11.710000038147,9.00696428576294,19.3799991607666,42.8699989318848,30.280280658177,19876.0,15.261210084013635,89.489,0.578,0.034,1.679,3.835,37093.0,3.39885631990717
virginia,buchanan county,2021-08-19,1,2,6000.0,0,0,1,8,Summer,40.0,40.0,0.97,1215,5.68,23.472830739789497,17.172785415722416,22.586493428010275,1.017273505564788,2.3568514881402023,53.2299995422363,68.4800033569336,61.6664540037817,0.0,9.19999980926514,7.29405611753464,11.1599998474121,21.3999996185303,15.9733928490658,19876.0,15.261210084013635,89.489,0.578,0.034,1.679,3.835,37093.0,3.39885631990717
virginia,buchanan county,2021-08-19,1,2,6000.0,0,0,1,8,Summer,40.0,40.0,0.97,1215,5.68,23.472830739789497,17.172785415722416,22.586493428010275,1.017273505564788,2.3568514881402023,53.2299995422363,68.4800033569336,61.6664540037817,0.0,9.19999980926514,7.29405611753464,11.1599998474121,21.3999996185303,15.9733928490658,19876.0,15.261210084013635,89.489,0.578,0.034,1.679,3.835,37093.0,3.39885631990717
virginia,buchanan county,2021-08-30,1,2,2510000.0,0,1,1,8,Summer,11.0,11.0,0.97,1215,5.68,23.472830739789497,17.172785415722416,22.586493428010275,1.017273505564788,2.3568514881402023,0.0,0.0,0.0,0.0,0.0,0.0,12.1199998855591,23.9400005340576,17.0139030485737,19876.0,15.261210084013635,89.489,0.578,0.034,1.679,3.835,37093.0,3.39885631990717
virginia,buchanan county,2021-08-30,1,2,2510000.0,0,1,1,8,Summer,11.0,11.0,0.97,1215,5.68,23.472830739789497,17.172785415722416,22.586493428010275,1.017273505564788,2.3568514881402023,0.0,0.0,0.0,0.0,0.0,0.0,12.1199998855591,23.9400005340576,17.0139030485737,19876.0,15.261210084013635,89.489,0.578,0.034,1.679,3.835,37093.0,3.39885631990717
virginia,buchanan county,2022-07-12,1,1,1800000.0,1,0,1,7,Summer,316.0,316.0,0.97,1215,5.68,23.472830739789497,17.172785415722416,22.586493428010275,1.017273505564788,2.3568514881402023,0.0,5.76000022888184,1.03762754980399,0.0,0.0,0.0,0.0,44.8899993896484,29.6108162062509,19383.0,14.882674333791323,89.416,0.58,0.034,1.684,3.834,39591.0,3.39885632014425
virginia,buchanan county,2022-07-27,1,1,200.0,0,0,1,7,Summer,15.0,15.0,0.97,1215,5.68,23.472830739789497,17.172785415722416,22.586493428010275,1.017273505564788,2.3568514881402023,17.9899997711182,33.689998626709,24.8063775227994,22.9799995422363,41.7400016784668,30.7142601645723,62.1699981689453,75.3199996948242,69.1688010546626,19383.0,14.882674333791323,89.416,0.58,0.034,1.684,3.834,39591.0,3.39885632014425
virginia,buchanan county,2022-08-05,1,1,250.0,0,0,1,8,Summer,9.0,9.0,0.97,1215,5.68,23.472830739789497,17.172785415722416,22.586493428010275,1.017273505564788,2.3568514881402023,0.0,0.0,0.0,0.0,0.0,0.0,10.5100002288818,24.4200000762939,17.0247704374547,19383.0,14.882674333791323,89.416,0.58,0.034,1.684,3.834,39591.0,3.39885632014425
virginia,buchanan county,2023-09-09,1,1,1500.0,0,0,1,9,Fall,400.0,400.0,0.97,1215,5.68,23.472830739789497,17.172785415722416,22.586493428010275,1.017273505564788,2.3568514881402023,2.70000004768372,6.71000003814697,4.54818878672561,4.11999988555908,16.8099994659424,11.0310714342156,16.4500007629395,42.5299987792969,25.5006122686425,19087.0,14.65539931945906,89.232,0.581,0.034,1.688,3.838,42216.0,3.39884307513549
virginia,buchanan county,2024-04-11,1,2,1000.0,0,0,1,4,Spring,215.0,215.0,0.97,1215,5.68,23.472830739789497,17.172785415722416,22.586493428010275,1.017273505564788,2.3568514881402023,,,,,,,,,,,,,,,,,,
virginia,buchanan county,2024-07-24,1,1,0.0,0,0,0,7,Summer,104.0,104.0,0.97,1215,5.68,23.472830739789497,17.172785415722416,22.586493428010275,1.017273505564788,2.3568514881402023,,,,,,,,,,,,,,,,,,
